wahl_jahr;kanton_nummer;kanton_bezeichnung;partei_id;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;letzte_wahl_anzahl_gewaehlte;letzte_wahl_anzahl_gewaehlte_f;letzte_wahl_anzahl_gewaehlte_m;differenz_anzahl_gewaehlte;differenz_anzahl_gewaehlte_f;differenz_anzahl_gewaehlte_m;fiktive_waehlende;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei
2015;23;Valais / Wallis;1;FDP;PLR;PLR;FDP;7;35;9;26;1;0;1;1;0;1;0;0;0;22808.267532;18.137787301;18.799919148;-0.662131847;0
2015;23;Valais / Wallis;2;CVP;PDC;PPD;CVP;8;37;6;31;4;2;2;3;1;2;1;1;0;50035.731565;39.789846175;39.903994477;-0.114148302;1
2015;23;Valais / Wallis;3;SP;PS;PS;SP;7;35;12;23;1;0;1;2;0;2;-1;0;-1;16670.346113;13.256736472;14.622579619;-1.365843148;0
2015;23;Valais / Wallis;4;SVP;UDC;UDC;SVP;6;39;5;34;2;0;2;1;0;1;1;0;1;27844.285551;22.142573003;19.681959543;2.4606134593;0
2015;23;Valais / Wallis;8;CSP;PCS;PCS;CSP;1;8;4;4;0;0;0;0;0;0;0;0;0;1778.0395731;1.4139479707;0.7199823166;0.693965654;0
2015;23;Valais / Wallis;13;GPS;PES;PES;GPS;3;18;8;10;0;0;0;0;0;0;0;0;0;6147.2131995;4.8884399201;4.9904668242;-0.102026904;0
2015;23;Valais / Wallis;35;Übrige;Autres;Rimanenti;Others;1;1;1;0;0;0;0;0;0;0;0;0;0;466.11646623;0.370669158;0.6497689697;-0.279099812;0
2015;24;Neuchâtel;1;FDP;PLR;PLR;FDP;2;8;2;6;1;0;1;2;0;2;-1;0;-1;11135.427268;24.425153033;26.859955505;-2.434802472;1
2015;24;Neuchâtel;2;CVP;PDC;PPD;CVP;1;4;0;4;0;0;0;0;0;0;0;0;0;1627.4894268;3.5698386199;3.4923069378;0.0775316821;0
2015;24;Neuchâtel;3;SP;PS;PS;SP;2;8;4;4;1;0;1;1;0;1;0;0;0;10786.081525;23.658875904;24.722572706;-1.063696802;0
2015;24;Neuchâtel;4;SVP;UDC;UDC;SVP;2;8;0;8;1;0;1;1;0;1;0;0;0;9293.307123;20.384529772;21.385865809;-1.001336038;0
2015;24;Neuchâtel;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;1;4;2;2;1;0;1;0;0;0;1;0;1;5571.7728436;12.221480245;10.401127097;1.8203531477;0
2015;24;Neuchâtel;13;GPS;PES;PES;GPS;1;4;2;2;0;0;0;1;1;0;-1;-1;0;4243.9038397;9.3088480801;11.653060952;-2.344212871;0
2015;24;Neuchâtel;31;GLP;PVL;PVL;GLP;1;4;1;3;0;0;0;0;0;0;0;0;0;1543.007123;3.3845297718;0;3.3845297718;0
2015;24;Neuchâtel;32;BDP;PBD;PBD;BDP;1;4;0;4;0;0;0;0;0;0;0;0;0;436.87245409;0.958263773;1.4851109932;-0.52684722;0
2015;24;Neuchâtel;35;Übrige;Autres;Rimanenti;Others;4;10;2;8;0;0;0;0;0;0;0;0;0;952.13839733;2.0884808013;0;2.0884808013;0
2015;25;Genève;1;FDP;PLR;PLR;FDP;2;12;2;10;3;0;3;2;0;2;1;0;1;21291.434759;20.511781928;18.647184985;1.8645969426;1
2015;25;Genève;2;CVP;PDC;PPD;CVP;2;11;5;6;1;0;1;1;0;1;0;0;0;12510.239264;12.052137517;9.7725944097;2.2795431077;0
2015;25;Genève;3;SP;PS;PS;SP;3;23;9;14;3;1;2;3;1;2;0;0;0;20693.500607;19.935743015;19.135236532;0.8005064822;0
2015;25;Genève;4;SVP;UDC;UDC;SVP;3;23;4;19;2;1;1;2;1;1;0;0;0;18301.948403;17.631765015;16.024022635;1.6077423802;0
2015;25;Genève;7;EVP;PEV;PEV;EVP;1;4;3;1;0;0;0;0;0;0;0;0;0;610.93472506;0.5885634291;1.0173094025;-0.428745973;0
2015;25;Genève;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;4;37;17;20;0;0;0;0;0;0;0;0;0;6290.8942584;6.0605333845;6.4831563481;-0.422622964;0
2015;25;Genève;13;GPS;PES;PES;GPS;4;29;14;15;1;1;0;2;0;2;-1;1;-2;11903.453658;11.467571274;14.022992936;-2.555421662;0
2015;25;Genève;16;EDU;UDF;UDF;EDU;1;4;2;2;0;0;0;0;0;0;0;0;0;232.903881;0.2243753731;0;0.2243753731;0
2015;25;Genève;31;GLP;PVL;PVL;GLP;1;9;3;6;0;0;0;0;0;0;0;0;0;2355.5009691;2.2692468946;3.1687558907;-0.899508996;0
2015;25;Genève;32;BDP;PBD;PBD;BDP;1;9;3;6;0;0;0;0;0;0;0;0;0;1064.0185221;1.0250561383;0;1.0250561383;0
2015;25;Genève;33;MCR;MCR;MCR;MCR;3;15;3;12;1;0;1;1;0;1;0;0;0;8183.9989634;7.8843161081;9.7823224022;-1.898006294;0
2015;25;Genève;35;Übrige;Autres;Rimanenti;Others;1;2;1;1;0;0;0;0;0;0;0;0;0;362.17198914;0.348909923;1.946424458;-1.597514535;0
2015;26;Jura;1;FDP;PLR;PLR;FDP;2;4;0;4;0;0;0;0;0;0;0;0;0;4668.7712473;16.784481044;9.4965961613;7.2878848829;0
2015;26;Jura;2;CVP;PDC;PPD;CVP;2;4;3;1;1;0;1;1;0;1;0;0;0;7686.0727858;27.631840616;33.246055418;-5.614214802;1
2015;26;Jura;3;SP;PS;PS;SP;2;4;1;3;1;0;1;1;0;1;0;0;0;6595.3182796;23.710520131;30.82580087;-7.115280739;0
2015;26;Jura;4;SVP;UDC;UDC;SVP;1;2;1;1;0;0;0;0;0;0;0;0;0;3573.4907888;12.84688952;15.466405592;-2.619516072;0
2015;26;Jura;8;CSP;PCS;PCS;CSP;1;2;1;1;0;0;0;0;0;0;0;0;0;1840.0510549;6.6150814456;0;6.6150814456;0
2015;26;Jura;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;1;2;1;1;0;0;0;0;0;0;0;0;0;1051.0267026;3.7784969175;0;3.7784969175;0
2015;26;Jura;13;GPS;PES;PES;GPS;2;4;2;2;0;0;0;0;0;0;0;0;0;2023.6035652;7.2749624862;10.965141959;-3.690179473;0
2015;26;Jura;35;Übrige;Autres;Rimanenti;Others;1;2;0;2;0;0;0;0;0;0;0;0;0;377.6655759;1.3577278397;0;1.3577278397;0
